Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat;
18/05/23;00:53:40;022375419588;ME2313742158;;0;1;PASS;
18/05/23;00:54:11;022375420157;ME2313742171;;0;8;PASS;
18/05/23;00:54:42;022375420159;ME2313742180;;0;7;PASS;
18/05/23;00:55:10;022375420162;ME2313741946;;0;6;PASS;
18/05/23;00:57:02;022375420165;ME2313742070;;0;5;PASS;
18/05/23;00:57:29;022375419177;ME2313741941;;-502;4;FAIL;
18/05/23;00:57:59;022375419178;ME2313742194;;0;3;PASS;
18/05/23;00:58:27;022375419182;ME2313742195;;-802;2;FAIL;
18/05/23;00:59:05;022375419186;ME2313742197;;0;1;PASS;
18/05/23;00:59:31;423231374560;ME2313742196;;-214;8;FAIL;
18/05/23;01:00:01;022375419348;ME2313742211;;0;7;PASS;
18/05/23;01:00:30;022375419580;ME2313742217;;0;6;PASS;
18/05/23;01:01:01;022375419589;ME2313742224;;0;5;PASS;
18/05/23;01:01:31;022375420167;ME2313742160;;0;4;PASS;
18/05/23;01:01:59;022375419188;ME2313742201;;0;3;PASS;
18/05/23;01:02:30;022375419190;ME2313742199;;0;2;PASS;
18/05/23;01:03:05;022375419193;ME2313742204;;0;1;PASS;
18/05/23;01:03:34;022375419341;ME2313742156;;0;8;PASS;
18/05/23;01:04:04;022375419355;ME2313742206;;0;7;PASS;
18/05/23;01:04:31;022375419182;ME2313742195;;-802;6;FAIL;
18/05/23;01:05:06;022375419357;ME2313742139;;0;5;PASS;
18/05/23;01:05:33;022375419582;ME2313742220;;0;4;PASS;
18/05/23;01:06:01;022375419584;ME2313742178;;0;3;PASS;
18/05/23;01:06:30;423231372448;ME2313742238;;-207;2;FAIL;
18/05/23;01:07:05;022375419597;ME2313742183;;0;1;PASS;
18/05/23;01:07:33;022375419195;ME2313742260;;0;8;PASS;
18/05/23;01:08:01;022375419196;ME2313742249;;0;7;PASS;
18/05/23;01:08:29;022375419182;ME2313742195;;-802;6;FAIL;
18/05/23;01:09:05;022375419199;ME2313742250;;0;5;PASS;
18/05/23;01:09:31;022375419351;ME2313742169;;0;4;PASS;
18/05/23;01:09:59;022375419353;ME2313742254;;0;3;PASS;
18/05/23;01:10:28;022375419367;ME2313742238;;0;2;PASS;
18/05/23;01:10:56;022375419591;ME2313742266;;0;1;PASS;
18/05/23;01:11:24;022375419593;ME2313742267;;0;8;PASS;
18/05/23;01:11:53;022375419595;ME2313742253;;0;7;PASS;
18/05/23;01:12:27;022375420100;ME2313742269;;0;6;PASS;
18/05/23;01:13:06;022375420103;ME2313742276;;-126;5;FAIL;
18/05/23;01:13:33;723231371259;ME2313742175;;-233;4;FAIL;
18/05/23;01:14:33;022375420110;ME2313742275;;-126;3;FAIL;
18/05/23;01:23:56;022375419362;ME2313742274;;-126;2;FAIL;
18/05/23;01:27:46;022375419365;ME2313742203;;-126;1;FAIL;
18/05/23;01:28:15;022375420108;ME2313742278;;-126;8;FAIL;
18/05/23;01:31:10;022375420510;ME2313742281;;0;7;PASS;
18/05/23;01:31:38;022375420991;ME2313742232;;0;6;PASS;
18/05/23;01:32:11;022375420993;ME2313742245;;0;5;PASS;
18/05/23;01:32:38;022375420994;ME2313742175;;0;4;PASS;
18/05/23;01:33:16;022375420110;ME2313742275;;0;3;PASS;
18/05/23;01:33:44;022375419362;ME2313742274;;0;2;PASS;
18/05/23;01:34:14;022375419365;ME2313742203;;0;1;PASS;
18/05/23;01:34:52;022375420108;ME2313742278;;0;8;PASS;
18/05/23;01:35:20;022375420512;ME2313742319;;0;7;PASS;
18/05/23;01:35:49;723231374266;ME2313742191;;-243;6;FAIL;
18/05/23;01:36:20;022375420517;ME2313742190;;0;5;PASS;
18/05/23;01:36:49;022375420754;ME2313742289;;0;4;PASS;
18/05/23;01:37:21;022375420757;ME2313742227;;0;3;PASS;
18/05/23;01:37:49;022375420759;ME2313742331;;0;2;PASS;
18/05/23;01:38:31;;;;-199;2;FAIL;
18/05/23;01:39:01;022375420911;ME2313742332;;0;1;PASS;
18/05/23;01:39:29;022375420914;ME2313742328;;0;8;PASS;
18/05/23;01:39:58;022375420995;ME2313742327;;0;7;PASS;
18/05/23;01:40:26;022375420996;ME2313742353;;0;6;PASS;
18/05/23;01:40:55;022375420520;ME2313742230;;0;5;PASS;
18/05/23;01:41:24;022375420525;ME2313742350;;0;4;PASS;
18/05/23;01:42:07;;;;-199;4;FAIL;
18/05/23;01:42:35;022375420761;ME2313742330;;0;3;PASS;
18/05/23;01:43:06;022375420763;ME2313742123;;0;2;PASS;
18/05/23;01:43:34;022375420767;ME2313742234;;0;1;PASS;
18/05/23;01:44:05;022375420916;ME2313742317;;0;8;PASS;
